epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,28.0434,0.81928,2.54881,0.26356,0.67655,1.11669,0.80421,0.35714,0.56752,0.30896,0.12579,0.14286,0.02632,0.00919,1.967,7.21173,0.57435,1.80116,1.78345,0.00049905,0.00049905,0.00049905
47,28.7364,0.8068,2.6063,0.34842,0.54384,0.98624,0.77743,0.49911,0.59638,0.33931,0.19386,0.14286,0.04104,0.0095,1.99989,7.40966,0.59056,1.83387,1.76416,0.000501032,0.000501032,0.000501032
48,29.3115,0.85165,2.96987,0.30543,0.64633,1.04329,0.77743,0.49911,0.59638,0.33931,0.19386,0.14286,0.04104,0.0095,1.99989,7.40966,0.59056,1.83387,1.76416,0.000502618,0.000502618,0.000502618
49,30.0119,1.12046,3.58068,0.41556,0.67496,1.03227,0.6736,0.5,0.5866,0.33458,0.189,0.14286,0.03768,0.01058,2.04749,7.41228,0.60507,1.88709,1.81447,0.000503808,0.000503808,0.000503808
50,30.6218,0.69019,1.88298,0.2783,0.54242,0.96878,0.6736,0.5,0.5866,0.33458,0.189,0.14286,0.03768,0.01058,2.04749,7.41228,0.60507,1.88709,1.81447,0.000504602,0.000504602,0.000504602
51,31.3128,0.70911,2.34912,0.27353,0.51101,0.95965,0.9688,0.35714,0.55315,0.29929,0.21549,0.14286,0.04859,0.01741,1.92125,7.43686,0.59979,1.80881,1.75986,0.000505,0.000505,0.000505
52,31.9063,1.01255,2.48195,0.31768,0.73722,1.08845,0.9688,0.35714,0.55315,0.29929,0.21549,0.14286,0.04859,0.01741,1.92125,7.43686,0.59979,1.80881,1.75986,0.000505002,0.000505002,0.000505002
53,32.6098,0.76433,2.67086,0.30994,0.5393,1.0821,0.9688,0.35714,0.55315,0.29929,0.21549,0.14286,0.04859,0.01741,1.92125,7.43686,0.59979,1.80881,1.75986,0.000504608,0.000504608,0.000504608
54,33.1806,0.91141,3.13555,0.31096,0.59526,1.14196,0.89197,0.42857,0.56378,0.27293,0.28079,0.14286,0.0585,0.02534,1.93505,7.31488,0.59876,1.74414,1.8169,0.000503818,0.000503818,0.000503818
55,33.795,0.71499,1.85687,0.34602,0.50562,1.11112,0.89197,0.42857,0.56378,0.27293,0.28079,0.14286,0.0585,0.02534,1.93505,7.31488,0.59876,1.74414,1.8169,0.000502632,0.000502632,0.000502632
56,34.3756,0.72122,2.77994,0.29787,0.52871,0.95553,0.89197,0.42857,0.56378,0.27293,0.28079,0.14286,0.0585,0.02534,1.93505,7.31488,0.59876,1.74414,1.8169,0.00050105,0.00050105,0.00050105
57,35.0136,0.58143,1.89559,0.3011,0.46744,0.90944,0.82492,0.42857,0.54329,0.30707,0.29802,0.14286,0.06317,0.0197,1.80804,7.3913,0.59687,1.7371,1.72149,0.000499072,0.000499072,0.000499072
58,35.5923,1.55465,4.37389,0.34903,0.95889,1.35707,0.82492,0.42857,0.54329,0.30707,0.29802,0.14286,0.06317,0.0197,1.80804,7.3913,0.59687,1.7371,1.72149,0.000496698,0.000496698,0.000496698
59,36.1821,0.69199,2.70075,0.2684,0.54164,0.99867,0.82492,0.42857,0.54329,0.30707,0.29802,0.14286,0.06317,0.0197,1.80804,7.3913,0.59687,1.7371,1.72149,0.000493928,0.000493928,0.000493928
60,36.7797,0.7451,3.27136,0.37944,0.53583,1.04623,0.61428,0.42857,0.51777,0.30989,0.24553,0.14286,0.06649,0.00698,1.83489,7.61217,0.58412,1.91789,1.76339,0.000490762,0.000490762,0.000490762
61,37.3769,0.93183,3.21435,0.28237,0.81274,1.17636,0.61428,0.42857,0.51777,0.30989,0.24553,0.14286,0.06649,0.00698,1.83489,7.61217,0.58412,1.91789,1.76339,0.0004872,0.0004872,0.0004872
62,38.0385,0.84134,3.72886,0.23777,0.6067,1.07876,0.61428,0.42857,0.51777,0.30989,0.24553,0.14286,0.06649,0.00698,1.83489,7.61217,0.58412,1.91789,1.76339,0.000483242,0.000483242,0.000483242
63,38.6362,0.64072,2.13836,0.25533,0.64378,0.98035,0.5815,0.42857,0.48272,0.28739,0.1556,0.07143,0.02852,0.00285,1.95564,7.66669,0.59715,1.98357,1.85927,0.000478888,0.000478888,0.000478888
64,39.2011,0.88033,2.69994,0.36983,0.67405,1.023,0.5815,0.42857,0.48272,0.28739,0.1556,0.07143,0.02852,0.00285,1.95564,7.66669,0.59715,1.98357,1.85927,0.000474138,0.000474138,0.000474138
65,39.7807,0.96875,2.40836,0.29605,0.70022,1.04706,0.5815,0.42857,0.48272,0.28739,0.1556,0.07143,0.02852,0.00285,1.95564,7.66669,0.59715,1.98357,1.85927,0.000468992,0.000468992,0.000468992
66,40.3766,0.70841,3.23677,0.39075,0.56033,1.14676,0.66308,0.42243,0.47499,0.28623,0.15516,0.07143,0.02563,0.00406,2.06726,7.72911,0.61329,2.04743,1.94336,0.00046345,0.00046345,0.00046345
67,41.0372,0.67289,1.97585,0.32447,0.57887,0.96366,0.66308,0.42243,0.47499,0.28623,0.15516,0.07143,0.02563,0.00406,2.06726,7.72911,0.61329,2.04743,1.94336,0.000457512,0.000457512,0.000457512
68,41.7403,0.84557,2.88175,0.33344,0.57434,0.97549,0.66308,0.42243,0.47499,0.28623,0.15516,0.07143,0.02563,0.00406,2.06726,7.72911,0.61329,2.04743,1.94336,0.000451178,0.000451178,0.000451178
69,42.4161,0.92533,2.61805,0.31608,0.68894,1.1212,0.58614,0.42857,0.45858,0.29211,0.14785,0.07143,0.02232,0.00525,2.07472,7.61233,0.60034,2.03207,1.98405,0.000444448,0.000444448,0.000444448
70,43.0533,1.07675,2.41929,0.43597,0.90031,1.1648,0.58614,0.42857,0.45858,0.29211,0.14785,0.07143,0.02232,0.00525,2.07472,7.61233,0.60034,2.03207,1.98405,0.000437322,0.000437322,0.000437322
71,43.6844,0.9766,2.57444,0.37587,0.72329,1.09017,0.58614,0.42857,0.45858,0.29211,0.14785,0.07143,0.02232,0.00525,2.07472,7.61233,0.60034,2.03207,1.98405,0.0004298,0.0004298,0.0004298
72,44.3158,0.83748,3.32422,0.31454,0.74246,1.03412,0.58987,0.42857,0.41465,0.25747,0.19435,0.14286,0.04421,0.00777,2.03035,7.66045,0.57124,2.17434,1.96354,0.000421882,0.000421882,0.000421882
73,45.1028,0.93919,2.07616,0.27787,0.62383,1.20229,0.58987,0.42857,0.41465,0.25747,0.19435,0.14286,0.04421,0.00777,2.03035,7.66045,0.57124,2.17434,1.96354,0.000413568,0.000413568,0.000413568
74,45.7506,1.03827,3.99486,0.31417,0.63807,1.35613,0.58987,0.42857,0.41465,0.25747,0.19435,0.14286,0.04421,0.00777,2.03035,7.66045,0.57124,2.17434,1.96354,0.000404858,0.000404858,0.000404858
75,46.4344,0.7163,2.02405,0.30705,0.54724,0.89277,0.57981,0.49335,0.48957,0.28503,0.17994,0.14286,0.05062,0.00779,2.04606,7.64762,0.55035,2.13311,1.94442,0.000395752,0.000395752,0.000395752
76,47.037,0.58377,2.01427,0.38413,0.60944,0.96364,0.57981,0.49335,0.48957,0.28503,0.17994,0.14286,0.05062,0.00779,2.04606,7.64762,0.55035,2.13311,1.94442,0.00038625,0.00038625,0.00038625
77,47.5874,0.94113,2.99803,0.2952,0.70646,1.21811,0.57981,0.49335,0.48957,0.28503,0.17994,0.14286,0.05062,0.00779,2.04606,7.64762,0.55035,2.13311,1.94442,0.000376352,0.000376352,0.000376352
78,48.1616,0.65993,2.3594,0.27947,0.48852,0.96726,0.49594,0.5,0.4913,0.30765,0.19468,0.14286,0.06281,0.01984,2.05199,7.60395,0.56307,2.1363,1.93688,0.000366058,0.000366058,0.000366058
79,48.7841,0.70899,1.82579,0.40767,0.52521,1.03944,0.49594,0.5,0.4913,0.30765,0.19468,0.14286,0.06281,0.01984,2.05199,7.60395,0.56307,2.1363,1.93688,0.000355368,0.000355368,0.000355368
80,49.3649,0.83451,2.72407,0.30858,0.6141,1.03898,0.49594,0.5,0.4913,0.30765,0.19468,0.14286,0.06281,0.01984,2.05199,7.60395,0.56307,2.1363,1.93688,0.000344282,0.000344282,0.000344282
81,50.0513,0.7839,2.48309,0.18985,0.6663,1.15215,0.74843,0.42543,0.49179,0.29845,0.12789,0.14286,0.0477,0.01503,2.15389,7.61425,0.58477,2.17308,1.99554,0.0003328,0.0003328,0.0003328
82,50.6107,0.69236,1.92198,0.26894,0.469,0.91956,0.74843,0.42543,0.49179,0.29845,0.12789,0.14286,0.0477,0.01503,2.15389,7.61425,0.58477,2.17308,1.99554,0.000320922,0.000320922,0.000320922
83,51.1609,0.80957,2.20962,0.30129,0.64906,1.0496,0.74843,0.42543,0.49179,0.29845,0.12789,0.14286,0.0477,0.01503,2.15389,7.61425,0.58477,2.17308,1.99554,0.000308648,0.000308648,0.000308648
84,51.8292,1.03004,3.86974,0.34365,1.00147,1.38914,0.67526,0.42857,0.5177,0.29076,0.17345,0.07143,0.02309,0.00693,2.20062,7.60484,0.61608,2.25269,2.05125,0.000295978,0.000295978,0.000295978
85,52.4167,0.71971,2.76468,0.27753,0.55704,0.98164,0.67526,0.42857,0.5177,0.29076,0.17345,0.07143,0.02309,0.00693,2.20062,7.60484,0.61608,2.25269,2.05125,0.000282912,0.000282912,0.000282912
86,52.9809,0.89188,2.38841,0.23762,0.73281,1.19282,0.67526,0.42857,0.5177,0.29076,0.17345,0.07143,0.02309,0.00693,2.20062,7.60484,0.61608,2.25269,2.05125,0.00026945,0.00026945,0.00026945
87,53.5867,0.64737,1.84735,0.24533,0.47545,0.97284,0.67526,0.42857,0.5177,0.29076,0.17345,0.07143,0.02309,0.00693,2.20062,7.60484,0.61608,2.25269,2.05125,0.000255592,0.000255592,0.000255592
88,54.2962,0.8484,2.60709,0.36868,0.58529,1.12996,0.87173,0.48692,0.50668,0.27762,0.25772,0.14286,0.05928,0.00841,2.24852,7.60936,0.63555,2.2841,2.12184,0.000241338,0.000241338,0.000241338
89,54.8864,0.73221,2.63328,0.27384,0.59012,1.01706,0.87173,0.48692,0.50668,0.27762,0.25772,0.14286,0.05928,0.00841,2.24852,7.60936,0.63555,2.2841,2.12184,0.000226688,0.000226688,0.000226688
90,55.5265,0.70292,1.56361,0.30008,0.54081,0.96418,0.87173,0.48692,0.50668,0.27762,0.25772,0.14286,0.05928,0.00841,2.24852,7.60936,0.63555,2.2841,2.12184,0.000211642,0.000211642,0.000211642
91,62.7921,0.63783,2.31682,0.28427,0.50564,0.9259,0.87173,0.48692,0.50668,0.27762,0.25772,0.14286,0.05928,0.00841,2.24852,7.60936,0.63555,2.2841,2.12184,0.0001962,0.0001962,0.0001962
92,63.6036,0.57844,1.57239,0.26594,0.43241,0.9325,0.60061,0.42977,0.42657,0.23122,0.26701,0.14286,0.05854,0.01322,2.28483,7.48795,0.64592,2.334,2.13916,0.000180362,0.000180362,0.000180362
93,64.2782,0.55526,1.01561,0.2041,0.41085,0.96354,0.60061,0.42977,0.42657,0.23122,0.26701,0.14286,0.05854,0.01322,2.28483,7.48795,0.64592,2.334,2.13916,0.000164128,0.000164128,0.000164128
94,64.9664,0.55222,1.42415,0.28201,0.424,0.87858,0.60061,0.42977,0.42657,0.23122,0.26701,0.14286,0.05854,0.01322,2.28483,7.48795,0.64592,2.334,2.13916,0.000147498,0.000147498,0.000147498
95,65.5841,0.54651,1.44365,0.25601,0.48061,0.95715,0.60061,0.42977,0.42657,0.23122,0.26701,0.14286,0.05854,0.01322,2.28483,7.48795,0.64592,2.334,2.13916,0.000130472,0.000130472,0.000130472
96,66.2094,0.64288,1.84945,0.30714,0.483,0.89282,0.59898,0.42694,0.45164,0.2534,0.24354,0.14286,0.05917,0.01646,2.31261,7.42198,0.63718,2.29064,2.17878,0.00011305,0.00011305,0.00011305
97,66.799,0.51844,1.25782,0.27863,0.46363,0.87331,0.59898,0.42694,0.45164,0.2534,0.24354,0.14286,0.05917,0.01646,2.31261,7.42198,0.63718,2.29064,2.17878,9.5232e-05,9.5232e-05,9.5232e-05
98,67.3584,0.61768,1.52694,0.25962,0.50866,0.94613,0.59898,0.42694,0.45164,0.2534,0.24354,0.14286,0.05917,0.01646,2.31261,7.42198,0.63718,2.29064,2.17878,7.7018e-05,7.7018e-05,7.7018e-05
99,67.9483,0.52147,1.33323,0.26433,0.46606,0.89681,0.59898,0.42694,0.45164,0.2534,0.24354,0.14286,0.05917,0.01646,2.31261,7.42198,0.63718,2.29064,2.17878,5.8408e-05,5.8408e-05,5.8408e-05
100,68.5173,0.53967,1.3256,0.23439,0.40627,0.88437,0.68123,0.35714,0.45213,0.24349,0.26641,0.14286,0.05893,0.01356,2.23929,7.44621,0.63896,2.19057,2.08949,3.9402e-05,3.9402e-05,3.9402e-05
